"LOCATION","Country","SEX","Sex","AGE","Age","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","T","Total","TOTAL","Total","1960","1960",10275000,,
"AUS","Australia","T","Total","TOTAL","Total","1961","1961",10508200,,
"AUS","Australia","T","Total","TOTAL","Total","1962","1962",10700500,,
"AUS","Australia","T","Total","TOTAL","Total","1963","1963",10906900,,
"AUS","Australia","T","Total","TOTAL","Total","1964","1964",11121600,,
"AUS","Australia","T","Total","TOTAL","Total","1965","1965",11340900,,
"AUS","Australia","T","Total","TOTAL","Total","1966","1966",11599498,,
"AUS","Australia","T","Total","TOTAL","Total","1967","1967",11799078,,
"AUS","Australia","T","Total","TOTAL","Total","1968","1968",12008635,,
"AUS","Australia","T","Total","TOTAL","Total","1969","1969",12263014,,
"AUS","Australia","T","Total","TOTAL","Total","1970","1970",12507349,,
"AUS","Australia","T","Total","TOTAL","Total","1971","1971",13067265,,
"AUS","Australia","T","Total","TOTAL","Total","1972","1972",13303664,,
"AUS","Australia","T","Total","TOTAL","Total","1973","1973",13504538,,
"AUS","Australia","T","Total","TOTAL","Total","1974","1974",13722571,,
"AUS","Australia","T","Total","TOTAL","Total","1975","1975",13892995,,
"AUS","Australia","T","Total","TOTAL","Total","1976","1976",14033083,,
"AUS","Australia","T","Total","TOTAL","Total","1977","1977",14192234,,
"AUS","Australia","T","Total","TOTAL","Total","1978","1978",14359255,,
"AUS","Australia","T","Total","TOTAL","Total","1979","1979",14515729,,
"AUS","Australia","T","Total","TOTAL","Total","1980","1980",14695356,,
"AUS","Australia","T","Total","TOTAL","Total","1981","1981",14923260,,
"AUS","Australia","T","Total","TOTAL","Total","1982","1982",15184247,,
"AUS","Australia","T","Total","TOTAL","Total","1983","1983",15393472,,
"AUS","Australia","T","Total","TOTAL","Total","1984","1984",15579391,,
"AUS","Australia","T","Total","TOTAL","Total","1985","1985",15788312,,
"AUS","Australia","T","Total","TOTAL","Total","1986","1986",16018350,,
"AUS","Australia","T","Total","TOTAL","Total","1987","1987",16263874,,
"AUS","Australia","T","Total","TOTAL","Total","1988","1988",16532164,,
"AUS","Australia","T","Total","TOTAL","Total","1989","1989",16814416,,
"AUS","Australia","T","Total","TOTAL","Total","1990","1990",17065128,,
"AUS","Australia","T","Total","TOTAL","Total","1991","1991",17284036,,
"AUS","Australia","T","Total","TOTAL","Total","1992","1992",17478635,,
"AUS","Australia","T","Total","TOTAL","Total","1993","1993",17634808,,
"AUS","Australia","T","Total","TOTAL","Total","1994","1994",17805468,,
"AUS","Australia","T","Total","TOTAL","Total","1995","1995",18004882,,
"AUS","Australia","T","Total","TOTAL","Total","1996","1996",18224767,,
"AUS","Australia","T","Total","TOTAL","Total","1997","1997",18423037,,
"AUS","Australia","T","Total","TOTAL","Total","1998","1998",18607584,,
"AUS","Australia","T","Total","TOTAL","Total","1999","1999",18812264,,
"AUS","Australia","T","Total","TOTAL","Total","2000","2000",19028802,,
"AUS","Australia","T","Total","TOTAL","Total","2001","2001",19274701,,
"AUS","Australia","T","Total","TOTAL","Total","2002","2002",19495210,,
"AUS","Australia","T","Total","TOTAL","Total","2003","2003",19720737,,
"AUS","Australia","T","Total","TOTAL","Total","2004","2004",19932722,,
"AUS","Australia","T","Total","TOTAL","Total","2005","2005",20176844,,
"AUS","Australia","T","Total","TOTAL","Total","2006","2006",20450966,,
"AUS","Australia","T","Total","TOTAL","Total","2007","2007",20827622,,
"AUS","Australia","T","Total","TOTAL","Total","2008","2008",21249199,,
"AUS","Australia","T","Total","TOTAL","Total","2009","2009",21691653,,
"AUS","Australia","T","Total","TOTAL","Total","2010","2010",22031750,,
"AUS","Australia","T","Total","TOTAL","Total","2011","2011",22340024,,
"AUS","Australia","T","Total","TOTAL","Total","2012","2012",22733465,,
"AUS","Australia","T","Total","TOTAL","Total","2013","2013",23128129,,
"AUS","Australia","T","Total","TOTAL","Total","2014","2014",23475686,,
"AUS","Australia","T","Total","TOTAL","Total","2015","2015",23815995,,
"AUS","Australia","T","Total","TOTAL","Total","2016","2016",24190907,,
"AUS","Australia","T","Total","TOTAL","Total","2017","2017",24594202,,
"AUS","Australia","T","Total","TOTAL","Total","2018","2018",24966643,,
"AUS","Australia","T","Total","TOTAL","Total","2019","2019",25340217,,
"AUS","Australia","T","Total","TOTAL","Total","2020","2020",25655289,,
"AUS","Australia","T","Total","TOTAL","Total","2021","2021",25688079,,
"AUS","Australia","T","Total","TOTAL","Total","2022","2022",25978935,,
"AUT","Austria","T","Total","TOTAL","Total","1960","1960",7047539,,
